"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4749","YNCF0002W",1.2479555034785,-2.54444976552877,1.1884770257861,-2.14093306839128,0.0322794359666105,0.0812759248205394
"4750","YNCF0003C",472.755747592482,-0.0818175875154129,0.0533665596299756,-1.53312463990009,0.125245147702786,0.231590195766826
"4751","YNCF0004C",2.09379937711744,-0.37112312423191,0.788819450961509,-0.470479174644515,0.638012709489162,0.754794287405077
"4752","YNCF0005C",3.70058656647329,-1.03128720639879,0.576454164812536,-1.78901857137968,0.0736118247182494,0.155184994871917
"4753","YNCF0006W",0.515035956680476,-1.65703331395666,1.60006654205261,-1.03560275176492,0.300387507685416,0.443062831475462
"4754","YNCF0007W",0.252098848665549,-0.40196525294648,2.02958587915194,-0.198052842737771,0.843003719962079,0.90542833214599
"4755","YNCF0008C",0.52518240290877,0.105061072730609,1.52557589457236,0.0688665002537021,0.945095884113377,0.968788527144922
"4756","YNCF0009C",3.41535666878433,0.51921941662434,0.589678143177369,0.880513247153141,0.378581332020845,0.525369712672958
"4757","YNCF0010C",0.830024196458459,-1.19367211190799,1.58093301201303,-0.755042815120966,0.450223293003206,0.593284061533004
"4758","YNCF0011C",1.71270639474573,-2.02634072145339,0.938726346570008,-2.15860642332815,0.030880714008529,0.078502938701457
"4759","YNCF0012C",1.46345069476617,-2.81732042133727,1.0720764876409,-2.62790990551127,0.00859112660332265,0.0275708140993156
"4760","YNCF0013W",18.8480969618478,0.0940605924558846,0.228791613044363,0.411119058099592,0.680985236026986,0.785996503770019
"4761","YNCF0014C",1.07705582237486,1.24927595150479,1.03099766284596,1.21171559987468,0.225621265508507,0.359161886393515
"4762","YNCG0001C",0,NA,NA,NA,NA,NA
"4763","YNCG0002C",19.3988370385371,-1.35431733292362,0.252509184324177,-5.36343791434104,8.16527254765587e-08,8.18465215022151e-07
"4764","YNCG0003C",5.01230126885273,0.363601969566652,0.494197579196931,0.735742109780269,0.46188765755899,0.601574488206456
"4765","YNCG0004W",0.480875292663506,-0.777671664641152,1.48156262445628,-0.524899624088825,0.59965297074959,0.725955421049432
"4766","YNCG0005W",0.324270907588789,-0.884207624129537,1.7180476099752,-0.514658394211963,0.60679175198387,0.729555086129781
"4767","YNCG0006C",1.7399295131498,0.76569227039509,0.858207910310413,0.892199036149807,0.37228625872738,0.5189072495133
